shape_id,shape_pt_sequence,stop_id,stop_lat,stop_lon,stop_name_y,lonlat,geometry
B630157,10014,905059.0,40.622312,-74.028688,4 AV/86 ST,"(-74.028688, 40.622312)",POINT (-74.028688 40.622312)
B630157,10016,308644.0,40.621924,-74.02849499999998,87 ST/4 Av,"(-74.02849499999998, 40.621924)",POINT (-74.02849499999998 40.621924)
B630157,10016,901295.0,40.621842,-74.028363,87 ST/4 AV,"(-74.028363, 40.621842)",POINT (-74.028363 40.621842)
B630157,10016,308533.0,40.621917,-74.028796,4 AV/87 ST,"(-74.028796, 40.621917)",POINT (-74.028796 40.621917)
B630157,10016,905142.0,40.62198,-74.028767,4 AV/87 ST,"(-74.028767, 40.62198)",POINT (-74.028767 40.62198)
B630161,30005,308334.0,40.667143,-73.988108,5 AV/12 ST,"(-73.988108, 40.667143)",POINT (-73.988108 40.667143)
B630161,130011,302681.0,40.65130300000001,-74.004083,39 ST/5 AV,"(-74.004083, 40.65130300000001)",POINT (-74.00408299999999 40.65130300000001)
B630161,130011,305438.0,40.651061,-74.004227,5 AV/39 ST,"(-74.004227, 40.651061)",POINT (-74.004227 40.651061)
B630161,350002,307582.0,40.616105,-74.03114599999998,4 AV/95 ST,"(-74.03114599999998, 40.616105)",POINT (-74.03114599999998 40.616105)
B630161,350002,307784.0,40.616435,-74.03107,4 AV/94 ST,"(-74.03107, 40.616435)",POINT (-74.03107 40.616435)
B630161,350002,901082.0,40.616262,-74.031131,4 AV/95 ST,"(-74.031131, 40.616262)",POINT (-74.031131 40.616262)
B630161,360004,301722.0,40.614823,-74.03458499999998,3 AV/MARINE AV,"(-74.03458499999998, 40.614823)",POINT (-74.03458499999998 40.614823)
B630161,360004,306940.0,40.614688,-74.03478299999998,3 AV/99 ST,"(-74.03478299999998, 40.614688)",POINT (-74.03478299999998 40.614688)
B630161,380003,301603.0,40.612824,-74.03625500000003,SHORE RD/3 AV,"(-74.03625500000003, 40.612824)",POINT (-74.03625500000003 40.612824)
B630161,380003,306680.0,40.612763,-74.03605300000002,3 AV/SHORE RD,"(-74.03605300000002, 40.612763)",POINT (-74.03605300000002 40.612763)
B630162,10001,305682.0,40.660157,-73.987605,7 AV/18 ST,"(-73.987605, 40.660157)",POINT (-73.987605 40.660157)
B630162,10001,306421.0,40.660006,-73.98751800000002,7 AV/19 ST,"(-73.98751800000002, 40.660006)",POINT (-73.98751800000002 40.660006)
B630164,10001,801007.0,40.693001,-74.000512,BROOKLYN BRIDGE PK RD/JORALEMON ST,"(-74.000512, 40.693001)",POINT (-74.000512 40.693001)
B630164,10001,801133.0,40.693026,-74.00065699999998,BROOKLYN BRIDGE PARK RD/JORALEMON ST,"(-74.00065699999998, 40.693026)",POINT (-74.00065699999998 40.693026)
